pattern_name,category,upper,bottom,has_waistband,n_pieces,total_area_cm2,mean_piece_area_cm2,std_piece_area_cm2,cv_piece_area,min_piece_area_cm2,max_piece_area_cm2,mean_convexity,min_convexity,std_convexity,mean_aspect_ratio,std_aspect_ratio,mean_width_cm,mean_height_cm
rand_6DCUK1D2AA,Shirt+AsymmSkirtCircle+WB,Shirt,AsymmSkirtCircle,1,20,31952.9,1597.64,3170.93,1.9848,54.67,12885.87,0.9787,0.9077,0.0347,7.6364,8.2907,52.29,26.6
rand_6JJTJBYY7P,None+AsymmSkirtCircle,None,AsymmSkirtCircle,0,2,4474.33,2237.17,712.9,0.3187,1524.26,2950.07,0.8714,0.8285,0.0429,2.0749,0.4374,79.59,40.14
rand_6YR5QJ6KOY,None+PencilSkirt,None,PencilSkirt,0,2,6077.86,3038.93,146.95,0.0484,2891.98,3185.88,0.9663,0.9497,0.0167,0.9955,0.0426,58.49,58.73
rand_7W3LZED1C2,None+GodetSkirt+WB,None,GodetSkirt,1,16,8494.35,530.9,844.86,1.5914,183.91,2913.84,0.9934,0.9312,0.0184,1.5262,2.8286,21.49,32.76
rand_873KMDM5Y5,None+Pants+WB,None,Pants,1,10,5852.58,585.26,308.72,0.5275,199.09,1027.51,0.9211,0.7046,0.0876,3.9713,2.5534,44.55,19.11
rand_8J2FANKZH5,Shirt+None+WB,Shirt,None,1,18,8571.52,476.2,466.18,0.979,26.16,1136.0,0.9779,0.8996,0.0391,4.3361,3.8286,26.11,20.5
rand_8PETK28LAN,FittedShirt+None,FittedShirt,None,0,4,3109.56,777.39,40.66,0.0523,736.71,818.06,0.893,0.8744,0.0186,0.5931,0.0008,24.96,42.09
rand_8TL4C2FDT9,None+SkirtCircle+WB,None,SkirtCircle,1,4,6240.27,1560.07,811.2,0.52,695.87,2370.37,0.9674,0.9347,0.0326,2.1328,0.2676,61.38,30.17
rand_8WLNCFL4I6,FittedShirt+None,FittedShirt,None,0,4,2438.1,609.52,34.03,0.0558,575.49,643.55,0.9469,0.9432,0.0037,0.7579,0.0702,24.96,33.08
rand_93EBUQZ29E,FittedShirt+SkirtCircle,FittedShirt,SkirtCircle,0,6,3051.73,508.62,95.55,0.1879,435.99,643.55,0.8123,0.5561,0.1799,1.1104,0.2651,29.19,26.72
rand_9ALZV7HLNF,None+SkirtManyPanels+WB,None,SkirtManyPanels,1,13,2556.71,196.67,5.74,0.0292,194.83,216.46,0.9679,0.7077,0.0821,1.3822,2.3422,14.73,20.4
rand_9J51BL12AD,None+SkirtCircle,None,SkirtCircle,0,2,9816.3,4908.15,158.83,0.0324,4749.32,5066.97,0.9278,0.8957,0.032,1.793,0.0064,118.49,66.09
rand_9JN6KDVCUQ,Shirt+Skirt2,Shirt,Skirt2,0,6,13400.92,2233.49,1941.57,0.8693,851.42,5242.88,0.9515,0.9248,0.0344,0.8456,0.3122,47.08,50.95
rand_A3HS0QTF8D,None+PencilSkirt+WB,None,PencilSkirt,1,4,8331.95,2082.99,1430.73,0.6869,612.47,3709.47,0.9962,0.985,0.0064,1.7244,0.9803,46.96,42.12
rand_ATS350QFAP,None+AsymmSkirtCircle+WB,None,AsymmSkirtCircle,1,4,2760.93,690.23,346.3,0.5017,262.89,1035.93,0.7502,0.49,0.2063,2.0759,0.1772,45.51,22.04
rand_AZBYKKUGI8,FittedShirt+None,FittedShirt,None,0,8,6821.12,852.64,71.75,0.0842,730.87,913.55,0.9428,0.8871,0.055,1.3145,0.7347,37.09,33.66
rand_BBER1D61B5,Shirt+SkirtManyPanels,Shirt,SkirtManyPanels,0,21,32487.58,1547.03,2057.4,1.3299,23.3,5183.99,0.9822,0.8819,0.0369,2.8394,3.1123,49.95,31.15
rand_BHGLSSZR9M,Shirt+Skirt2+WB,Shirt,Skirt2,1,8,9270.61,1158.83,531.82,0.4589,752.17,2104.37,0.8754,0.7692,0.0988,1.6625,1.1636,47.33,37.36
rand_BJ03KNWRBQ,None+Skirt2+WB,None,Skirt2,1,4,12109.78,3027.45,2230.2,0.7367,790.71,5532.0,0.9691,0.908,0.0376,1.5583,0.9407,55.31,59.58
rand_C0Z8NW0629,None+AsymmSkirtCircle+WB,None,AsymmSkirtCircle,1,4,1461.18,365.29,117.14,0.3207,192.64,491.27,0.6742,0.3863,0.2307,2.8619,0.8632,42.18,15.74
rand_C46H9M17PA,FittedShirt+None+WB,FittedShirt,None,1,14,5066.0,361.86,221.01,0.6108,183.58,712.63,0.9444,0.8199,0.0634,4.3257,4.6446,31.5,23.61
rand_DZVB9BOO30,FittedShirt+None+WB,FittedShirt,None,1,14,7011.44,500.82,349.85,0.6986,55.03,856.28,0.9317,0.7072,0.0871,2.2289,1.9785,28.79,20.78
rand_E4KWAFH6KS,FittedShirt+SkirtManyPanels+WB,FittedShirt,SkirtManyPanels,1,23,25464.14,1107.14,378.27,0.3417,432.12,1378.62,0.984,0.8606,0.0373,0.7422,0.7309,30.09,57.94
rand_EAOMBYNF03,Shirt+Skirt2,Shirt,Skirt2,0,10,17821.7,1782.17,2660.05,1.4926,91.39,7358.57,0.8828,0.653,0.1475,1.0647,0.6861,42.2,40.37
rand_EXZ8N6LBWM,FittedShirt+None,FittedShirt,None,0,8,4514.68,564.33,297.11,0.5265,54.97,829.43,0.9418,0.8633,0.0582,1.3703,0.7627,26.26,26.93
rand_F38J013VAJ,FittedShirt+SkirtManyPanels+WB,FittedShirt,SkirtManyPanels,1,25,17023.49,680.94,318.96,0.4684,116.5,1322.35,0.9728,0.8303,0.0575,1.9538,2.4725,30.68,35.17
rand_F7FSOZ3721,None+SkirtManyPanels,None,SkirtManyPanels,0,7,4755.87,679.41,0.0,0.0,679.41,679.41,0.8481,0.8481,0.0,0.6623,0.0,26.72,40.34
rand_FDBA3X0F5U,None+SkirtCircle+WB,None,SkirtCircle,1,4,9421.9,2355.48,2148.33,0.9121,199.82,4608.62,0.8545,0.6983,0.0936,4.4241,2.6036,82.51,33.39
rand_FKYMC7JY0P,Shirt+Skirt2+WB,Shirt,Skirt2,1,14,22183.24,1584.52,2102.91,1.3272,197.64,6726.37,0.912,0.6382,0.1243,2.2194,2.9334,43.54,39.43
rand_G1F4MUBHRE,FittedShirt+None+WB,FittedShirt,None,1,8,5243.97,655.5,220.3,0.3361,371.26,1026.9,0.944,0.8362,0.0612,1.1996,0.542,29.98,28.83
rand_G4BVSVEQ78,Shirt+Skirt2+WB,Shirt,Skirt2,1,16,22800.97,1425.06,1486.18,1.0429,44.81,5162.21,0.983,0.9355,0.025,1.5576,0.9309,41.79,32.87
rand_HPZQ55OXXC,None+Pants,None,Pants,0,12,8972.55,747.71,383.96,0.5135,209.3,1053.48,0.9709,0.8956,0.0423,1.1338,0.3902,27.7,28.69
rand_HTWQI52XFJ,Shirt+AsymmSkirtCircle,Shirt,AsymmSkirtCircle,0,8,34817.02,4352.13,5575.61,1.2811,1203.8,16258.4,0.9219,0.8757,0.0405,0.994,0.6403,71.5,61.08
rand_HUZDOU50W3,Shirt+SkirtCircle,Shirt,SkirtCircle,0,10,15695.87,1569.59,2351.84,1.4984,25.2,6325.92,0.8803,0.6243,0.1317,1.2846,1.0297,40.76,33.93
rand_IRDXZ0QF7U,None+Skirt2+WB,None,Skirt2,1,4,1987.86,496.97,292.53,0.5886,193.98,804.98,1.0,1.0,0.0,6.7361,2.5609,50.57,9.2
rand_IYG9ZX9DAB,FittedShirt+SkirtCircle,FittedShirt,SkirtCircle,0,10,4914.3,491.43,379.08,0.7714,24.83,843.27,0.9443,0.8871,0.049,1.9878,2.2354,22.73,24.58
rand_J4GOR2R9O0,None+Skirt2+WB,None,Skirt2,1,4,11188.96,2797.24,2612.5,0.934,183.91,5769.9,1.0,1.0,0.0,5.1211,3.8803,63.2,35.56
rand_LBGM2L774C,None+PencilSkirt,None,PencilSkirt,0,2,8223.06,4111.53,237.89,0.0579,3873.64,4349.42,0.9935,0.9869,0.0065,0.5765,0.0282,51.74,89.7
rand_MHRRSL751P,FittedShirt+None,FittedShirt,None,0,16,5626.43,351.65,281.25,0.7998,9.98,769.53,0.9606,0.8025,0.0652,7.5604,15.3246,23.4,18.51
rand_MKVKS9Q4IU,FittedShirt+None+WB,FittedShirt,None,1,12,9225.47,768.79,118.11,0.1536,606.94,922.29,0.8989,0.7297,0.1051,1.2489,0.7703,33.99,35.02
rand_MYD8FTGAHQ,FittedShirt+Pants,FittedShirt,Pants,0,28,9620.23,343.58,369.92,1.0767,18.58,1212.36,0.952,0.7082,0.0846,4.4334,4.8746,24.36,17.76
rand_MZ04PH07QA,FittedShirt+None,FittedShirt,None,0,12,8596.12,716.34,512.2,0.715,42.34,1319.11,0.9549,0.8501,0.0622,1.8948,1.5047,29.75,28.08
rand_N6YXNBZBYX,FittedShirt+AsymmSkirtCircle,FittedShirt,AsymmSkirtCircle,0,6,7345.44,1224.24,1203.67,0.9832,605.75,3910.85,0.8179,0.7289,0.0855,1.2181,1.0451,42.82,40.7
rand_NMTFCMKQ4J,None+Pants,None,Pants,0,4,6495.15,1623.79,112.73,0.0694,1511.06,1736.55,0.9345,0.9213,0.0132,0.5628,0.0278,32.6,57.88
rand_OAOJWAOCAB,None+PencilSkirt+WB,None,PencilSkirt,1,4,7325.73,1831.43,1468.85,0.802,349.87,3449.34,0.7476,0.4547,0.1971,4.3367,3.744,74.09,39.02
rand_ORB3LSYM4X,FittedShirt+GodetSkirt+WB,FittedShirt,GodetSkirt,1,20,12518.44,625.92,579.42,0.9257,59.57,2196.82,0.9302,0.6712,0.1126,1.6271,1.1205,31.21,24.15
rand_ORTAUGO7F1,Shirt+Pants,Shirt,Pants,0,24,11049.38,460.39,411.76,0.8944,120.8,1158.6,0.9437,0.7628,0.0712,1.9377,2.3125,23.54,24.71
rand_PEAX9IQARX,FittedShirt+AsymmSkirtCircle,FittedShirt,AsymmSkirtCircle,0,14,11979.9,855.71,816.98,0.9547,116.07,3415.63,0.9131,0.7024,0.1098,2.4145,2.0503,39.42,29.43
rand_PGR2IQ7B9N,FittedShirt+SkirtCircle,FittedShirt,SkirtCircle,0,10,7002.64,700.26,485.46,0.6933,217.97,1602.62,0.8707,0.7008,0.1114,0.7056,0.2258,25.79,36.52
rand_PMWDY39J1M,FittedShirt+None,FittedShirt,None,0,4,2949.89,737.47,62.56,0.0848,674.91,800.04,0.8627,0.8606,0.002,0.599,0.0006,24.96,41.67
rand_Q54GGDKMS4,FittedShirt+PencilSkirt,FittedShirt,PencilSkirt,0,6,9794.68,1632.45,1330.72,0.8152,642.25,3700.62,0.8942,0.8385,0.0642,0.6599,0.0522,33.89,50.28
rand_QIS1TTFPV1,FittedShirt+None+WB,FittedShirt,None,1,10,4855.69,485.57,282.77,0.5823,66.89,813.62,0.9424,0.845,0.0653,3.2033,4.0129,29.77,23.51
rand_QUG1QX0WXB,Shirt+Pants,Shirt,Pants,0,20,14730.55,736.53,329.89,0.4479,92.26,1011.89,0.9593,0.84,0.0541,1.5736,0.8994,31.12,27.51
rand_QVX8GBZ45R,None+Pants+WB,None,Pants,1,10,8024.5,802.45,368.76,0.4595,120.19,1231.16,0.9526,0.8357,0.0649,3.3817,5.1947,32.81,31.0
rand_R34RCLIXE8,None+AsymmSkirtCircle+WB,None,AsymmSkirtCircle,1,4,4471.15,1117.79,717.64,0.642,466.56,2254.46,0.9235,0.8075,0.0814,2.817,0.8029,56.81,23.75
rand_RFURI972TU,Shirt+None,Shirt,None,0,10,11530.16,1153.02,766.98,0.6652,97.57,2167.18,0.8925,0.7035,0.1201,1.206,1.0765,33.08,44.56
rand_RH32N4Y406,Shirt+None+WB,Shirt,None,1,14,8361.81,597.27,394.86,0.6611,44.81,1031.78,0.9667,0.8392,0.0555,1.9041,1.567,30.39,24.46
rand_RZN2PW02QP,Shirt+None+WB,Shirt,None,1,6,4954.08,825.68,269.66,0.3266,425.82,1036.01,0.9027,0.843,0.0395,1.6338,1.5682,32.89,36.76
rand_SDWL1U32SW,Shirt+SkirtLevels,Shirt,SkirtLevels,0,12,20324.74,1693.73,1464.99,0.8649,527.86,4199.18,0.9399,0.765,0.082,2.6871,2.7682,70.96,33.83
rand_SMTPOHZ70Z,Shirt+None+WB,Shirt,None,1,6,4132.44,688.74,359.51,0.522,189.29,1070.97,0.8091,0.6924,0.0795,2.6067,2.9925,33.54,36.19
rand_SWJZSYFWFY,Shirt+None+WB,Shirt,None,1,6,5974.34,995.72,374.67,0.3763,450.05,1370.52,0.9053,0.8159,0.0752,1.6567,1.43,37.35,39.59
rand_TLROKVCYFK,Shirt+None,Shirt,None,0,6,6524.89,1087.48,195.96,0.1802,866.19,1376.15,0.9335,0.8403,0.0582,0.8778,0.5066,33.4,43.14
rand_TP48HNAMJ2,None+Skirt2+WB,None,Skirt2,1,4,8768.18,2192.04,1992.12,0.9088,189.47,4304.32,1.0,1.0,0.0,4.9767,4.1821,50.64,38.2
rand_TPSN0WB217,FittedShirt+None,FittedShirt,None,0,18,7554.85,419.71,367.91,0.8766,13.88,1062.63,0.9407,0.756,0.0854,2.786,2.1654,22.88,22.83
rand_TRUD819TCZ,Shirt+None,Shirt,None,0,12,6133.42,511.12,345.21,0.6754,46.29,965.48,0.9393,0.7039,0.1071,1.2894,0.5451,24.24,25.65
rand_UCPEMHGUAC,FittedShirt+Skirt2,FittedShirt,Skirt2,0,10,9547.34,954.73,799.03,0.8369,59.99,2605.36,0.9522,0.8264,0.0609,1.594,1.0877,34.23,30.06
rand_UWTT93DRVX,FittedShirt+None+WB,FittedShirt,None,1,8,5497.69,687.21,299.25,0.4355,183.91,1000.16,0.9197,0.8664,0.0509,2.6472,3.6675,29.15,36.27
rand_V9WT5IFOME,Shirt+AsymmSkirtCircle,Shirt,AsymmSkirtCircle,0,10,9278.4,927.84,887.69,0.9567,102.35,3086.05,0.8829,0.7012,0.0806,1.2851,1.0487,32.78,34.49
rand_VFOBN3LEAP,FittedShirt+None,FittedShirt,None,0,4,1774.87,443.72,77.4,0.1744,366.31,521.12,0.9276,0.9245,0.0031,1.2189,0.0459,24.96,20.54
rand_VG6IH2V8NI,FittedShirt+None,FittedShirt,None,0,4,3031.66,757.92,46.83,0.0618,711.07,804.76,0.899,0.8989,0.0001,0.6238,0.0001,24.96,40.02
rand_WAA4ASTOC2,None+SkirtCircle+WB,None,SkirtCircle,1,4,1390.01,347.5,104.8,0.3016,245.23,482.1,0.7654,0.5308,0.2346,3.9247,0.203,45.41,11.58
rand_WGIIOYTJUN,None+Pants+WB,None,Pants,1,10,10179.75,1017.97,807.71,0.7934,355.7,2144.94,0.9822,0.9499,0.0221,5.296,6.0755,46.25,32.42
rand_WSGWBZSCPL,Shirt+Pants+WB,Shirt,Pants,1,14,8310.05,593.58,431.77,0.7274,81.83,1200.08,0.8682,0.7105,0.1072,2.269,2.1863,28.02,28.58
rand_Y9TCBGSP2K,FittedShirt+None+WB,FittedShirt,None,1,10,7483.64,748.36,364.79,0.4874,188.93,1159.01,0.8721,0.6981,0.1219,2.2683,2.3598,38.25,29.56
rand_YCR7T70T3U,None+PencilSkirt+WB,None,PencilSkirt,1,4,6701.52,1675.38,1476.1,0.8811,192.26,3301.62,0.8552,0.715,0.0832,4.0248,2.8172,59.66,31.0
rand_YHG9LP9SH1,FittedShirt+None+WB,FittedShirt,None,1,18,5400.46,300.03,275.44,0.918,7.55,774.4,0.9659,0.833,0.0625,4.378,3.8392,21.96,15.52
rand_ZCNR774691,FittedShirt+PencilSkirt,FittedShirt,PencilSkirt,0,14,11159.36,797.1,1023.35,1.2838,73.82,3438.66,0.9265,0.6297,0.1268,1.8838,1.1478,30.11,28.59
rand_ZLDNCUM0GY,FittedShirt+None,FittedShirt,None,0,8,5419.47,677.43,93.52,0.1381,581.12,806.63,0.9391,0.8678,0.0578,1.1243,0.5052,31.06,32.07
